id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,1,1,0.094083,0.094083,0.000000,0.000000,0.000000
1,1,640,360,2,1,0.104216,0.104216,0.000000,0.000000,0.000000
2,2,627,360,3,1,0.101208,0.101207,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.094576,0.094575,0.000000,0.000000,0.000000
4,4,640,360,1,1,0.090114,0.090113,0.000000,0.000000,0.000000
5,5,640,360,2,1,0.084818,0.084817,0.000000,0.000000,0.000000
6,6,640,360,3,1,0.087456,0.087455,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.097940,0.097940,0.000000,0.000000,0.000000
8,8,640,360,1,1,0.104262,0.104261,0.000000,0.000000,0.000000
9,9,640,360,2,1,0.141451,0.141451,0.000000,0.000000,0.000000
10,10,640,360,3,1,0.107093,0.107092,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.087331,0.087331,0.000000,0.000000,0.000000
12,12,640,360,1,1,0.135180,0.135179,0.000000,0.000000,0.000000
13,13,640,360,2,1,0.101665,0.101664,0.000000,0.000000,0.000000
14,14,640,360,3,1,0.122213,0.122212,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.110220,0.110219,0.000000,0.000000,0.000000
16,16,640,360,1,1,0.123470,0.123468,0.000000,0.000000,0.000000
17,17,640,360,2,1,0.126029,0.126027,0.000000,0.000000,0.000000
18,18,640,360,3,1,0.119074,0.119074,0.000000,0.000000,0.000000
