id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,1,1,0.090236,0.090236,0.000000,0.000000,0.000000
1,1,640,360,2,1,0.093877,0.093877,0.000000,0.000000,0.000000
2,2,627,360,3,1,0.089715,0.089715,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.092563,0.092563,0.000000,0.000000,0.000000
4,4,640,360,1,1,0.087106,0.087106,0.000000,0.000000,0.000000
5,5,640,360,2,1,0.088095,0.088094,0.000000,0.000000,0.000000
6,6,640,360,3,1,0.088717,0.088716,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.087976,0.087975,0.000000,0.000000,0.000000
8,8,640,360,1,1,0.087064,0.087063,0.000000,0.000000,0.000000
9,9,640,360,2,1,0.114978,0.114977,0.000000,0.000000,0.000000
10,10,640,360,3,1,0.091318,0.091318,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.089534,0.089533,0.000000,0.000000,0.000000
12,12,640,360,1,1,0.120031,0.120031,0.000000,0.000000,0.000000
13,13,640,360,2,1,0.100896,0.100895,0.000000,0.000000,0.000000
14,14,640,360,3,1,0.137154,0.137153,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.120598,0.120597,0.000000,0.000000,0.000000
16,16,640,360,1,1,0.121453,0.121452,0.000000,0.000000,0.000000
17,17,640,360,2,1,0.125646,0.125645,0.000000,0.000000,0.000000
18,18,640,360,3,1,0.123877,0.123877,0.000000,0.000000,0.000000
