id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,1080,1080,1,1,0.124124,0.124124,0.000000,0.000000,0.000000
1,1,892,829,2,1,0.072092,0.072092,0.000000,0.000000,0.000000
2,2,892,827,3,1,0.073683,0.073683,0.000000,0.000000,0.000000
3,3,820,707,4,1,0.058319,0.058318,0.000000,0.000000,0.000000
4,4,861,826,5,1,0.069307,0.069307,0.000000,0.000000,0.000000
5,5,884,825,6,1,0.070817,0.070816,0.000000,0.000000,0.000000
6,6,892,825,7,1,0.070822,0.070821,0.000000,0.000000,0.000000
7,7,820,704,0,1,0.200905,0.200905,0.000000,0.000000,0.000000
8,8,884,824,1,1,0.073855,0.073854,0.000000,0.000000,0.000000
9,9,884,824,2,1,0.068099,0.068098,0.000000,0.000000,0.000000
10,10,892,822,3,1,0.071732,0.071732,0.000000,0.000000,0.000000
11,11,820,698,4,1,0.049070,0.049070,0.000000,0.000000,0.000000
12,12,882,816,5,1,0.069278,0.069278,0.000000,0.000000,0.000000
13,13,878,808,6,1,0.066204,0.066204,0.000000,0.000000,0.000000
14,14,892,807,7,1,0.059884,0.059884,0.000000,0.000000,0.000000
15,15,820,682,0,1,0.261861,0.261860,0.000000,0.000000,0.000000
16,16,860,792,1,1,0.068882,0.068882,0.000000,0.000000,0.000000
17,17,884,788,2,1,0.058128,0.058127,0.000000,0.000000,0.000000
18,18,892,784,3,1,0.061361,0.061361,0.000000,0.000000,0.000000
19,19,820,658,4,1,0.045599,0.045598,0.000000,0.000000,0.000000
20,20,884,777,5,1,0.064245,0.064245,0.000000,0.000000,0.000000
21,21,884,777,6,1,0.064887,0.064887,0.000000,0.000000,0.000000
22,22,892,776,7,1,0.057830,0.057830,0.000000,0.000000,0.000000
23,23,882,776,0,1,0.269446,0.269446,0.000000,0.000000,0.000000
24,24,890,814,1,1,0.073008,0.073008,0.000000,0.000000,0.000000
25,25,882,776,2,1,0.063935,0.063935,0.000000,0.000000,0.000000
26,26,887,776,3,1,0.067157,0.067157,0.000000,0.000000,0.000000
27,27,819,658,4,1,0.050761,0.050761,0.000000,0.000000,0.000000
28,28,884,774,5,1,0.050214,0.050214,0.000000,0.000000,0.000000
29,29,884,776,6,1,0.050545,0.050545,0.000000,0.000000,0.000000
30,30,887,777,7,1,0.064387,0.064386,0.000000,0.000000,0.000000
31,31,819,658,0,1,0.176407,0.176407,0.000000,0.000000,0.000000
32,32,880,778,1,1,0.069362,0.069362,0.000000,0.000000,0.000000
33,33,883,793,2,1,0.388874,0.388874,0.000000,0.000000,0.000000
34,34,889,784,3,1,0.061339,0.061339,0.000000,0.000000,0.000000
35,35,819,667,4,1,0.046457,0.046457,0.000000,0.000000,0.000000
36,36,882,793,5,1,0.065499,0.065499,0.000000,0.000000,0.000000
37,37,882,799,6,1,0.065978,0.065978,0.000000,0.000000,0.000000
38,38,888,808,7,1,0.059702,0.059702,0.000000,0.000000,0.000000
39,39,819,693,0,1,0.137942,0.137942,0.000000,0.000000,0.000000
40,40,885,813,1,1,0.072618,0.072618,0.000000,0.000000,0.000000
41,41,885,824,2,1,0.068066,0.068066,0.000000,0.000000,0.000000
42,42,887,824,3,1,0.071414,0.071414,0.000000,0.000000,0.000000
43,43,819,704,4,1,0.138733,0.138732,0.000000,0.000000,0.000000
44,44,885,825,5,1,0.068088,0.068088,0.000000,0.000000,0.000000
45,45,884,830,6,1,0.068789,0.068789,0.000000,0.000000,0.000000
46,46,887,830,7,1,0.127800,0.127800,0.000000,0.000000,0.000000
47,47,878,827,0,1,0.312502,0.312502,0.000000,0.000000,0.000000
