id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,-1,1,0.142246,0.142246,0.000000,0.000000,0.000000
1,1,640,360,-1,1,0.171233,0.171232,0.000000,0.000000,0.000000
2,2,627,360,-1,1,0.175536,0.175536,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.172037,0.172036,0.000000,0.000000,0.000000
4,4,640,360,-1,1,0.055894,0.198139,0.000000,0.000000,0.000000
5,5,640,360,-1,1,0.129064,0.300295,0.000000,0.000000,0.000000
6,6,640,360,-1,1,0.145067,0.320602,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.079673,0.079673,0.000000,0.000000,0.000000
8,8,640,360,-1,1,0.100235,0.298374,0.000000,0.000000,0.000000
9,9,640,360,-1,1,0.114088,0.414382,0.000000,0.000000,0.000000
10,10,640,360,-1,1,0.131003,0.451604,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.053779,0.053779,0.000000,0.000000,0.000000
12,12,640,360,-1,1,0.128804,0.427177,0.000000,0.000000,0.000000
13,13,640,360,-1,1,0.133336,0.547717,0.000000,0.000000,0.000000
14,14,640,360,-1,1,0.177317,0.628920,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.062217,0.062217,0.000000,0.000000,0.000000
16,16,640,360,-1,1,0.129535,0.556712,0.000000,0.000000,0.000000
17,17,640,360,-1,1,0.095950,0.643666,0.000000,0.000000,0.000000
18,18,640,360,-1,1,0.080666,0.709585,0.000000,0.000000,0.000000
