id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,-1,1,0.065615,0.065614,0.000000,0.000000,0.000000
1,1,640,360,0,1,0.060598,0.060597,0.000000,0.000000,0.000000
2,2,627,360,-1,1,0.033081,0.098695,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.038297,0.038297,0.000000,0.000000,0.000000
4,4,640,360,-1,1,0.034410,0.133105,0.000000,0.000000,0.000000
5,5,640,360,0,1,0.033660,0.033659,0.000000,0.000000,0.000000
6,6,640,360,-1,1,0.028307,0.161411,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.045486,0.045485,0.000000,0.000000,0.000000
8,8,640,360,-1,1,0.033991,0.195402,0.000000,0.000000,0.000000
9,9,640,360,0,1,0.043221,0.043221,0.000000,0.000000,0.000000
10,10,640,360,-1,1,0.048256,0.243657,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.041268,0.041268,0.000000,0.000000,0.000000
12,12,640,360,-1,1,0.039851,0.283508,0.000000,0.000000,0.000000
13,13,640,360,0,1,0.034569,0.034569,0.000000,0.000000,0.000000
14,14,640,360,-1,1,0.045035,0.328542,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.044799,0.044798,0.000000,0.000000,0.000000
16,16,640,360,-1,1,0.031149,0.359691,0.000000,0.000000,0.000000
17,17,640,360,0,1,0.046283,0.046283,0.000000,0.000000,0.000000
18,18,640,360,-1,1,0.038645,0.398336,0.000000,0.000000,0.000000
