id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,1,1,0.047936,0.047936,0.000000,0.000000,0.000000
1,1,640,360,2,1,0.047395,0.047394,0.000000,0.000000,0.000000
2,2,627,360,3,1,0.048526,0.048526,0.000000,0.000000,0.000000
3,3,640,360,4,1,0.052131,0.052130,0.000000,0.000000,0.000000
4,4,640,360,5,1,0.049415,0.049415,0.000000,0.000000,0.000000
5,5,640,360,6,1,0.048900,0.048900,0.000000,0.000000,0.000000
6,6,640,360,7,1,0.048493,0.048492,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.047106,0.047106,0.000000,0.000000,0.000000
8,8,640,360,1,1,0.046497,0.046497,0.000000,0.000000,0.000000
9,9,640,360,2,1,0.046780,0.046780,0.000000,0.000000,0.000000
10,10,640,360,3,1,0.048095,0.048095,0.000000,0.000000,0.000000
11,11,640,360,4,1,0.053215,0.053215,0.000000,0.000000,0.000000
12,12,640,360,5,1,0.222823,0.222823,0.000000,0.000000,0.000000
13,13,640,360,6,1,0.222662,0.222662,0.000000,0.000000,0.000000
14,14,640,360,7,1,0.222920,0.222919,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.046414,0.046414,0.000000,0.000000,0.000000
16,16,640,360,1,1,0.046732,0.046731,0.000000,0.000000,0.000000
17,17,640,360,2,1,0.057846,0.057845,0.000000,0.000000,0.000000
18,18,640,360,3,1,0.048121,0.048121,0.000000,0.000000,0.000000
