id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,-1,1,0.097800,0.097799,0.000000,0.000000,0.000000
1,1,640,360,-1,1,0.167039,0.167038,0.000000,0.000000,0.000000
2,2,627,360,-1,1,0.145114,0.145113,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.119920,0.119920,0.000000,0.000000,0.000000
4,4,640,360,-1,1,0.051068,0.148867,0.000000,0.000000,0.000000
5,5,640,360,-1,1,0.095860,0.262898,0.000000,0.000000,0.000000
6,6,640,360,-1,1,0.096260,0.241372,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.068830,0.068830,0.000000,0.000000,0.000000
8,8,640,360,-1,1,0.053993,0.202860,0.000000,0.000000,0.000000
9,9,640,360,-1,1,0.088867,0.351765,0.000000,0.000000,0.000000
10,10,640,360,-1,1,0.077187,0.318559,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.040912,0.040911,0.000000,0.000000,0.000000
12,12,640,360,-1,1,0.102873,0.305733,0.000000,0.000000,0.000000
13,13,640,360,-1,1,0.121778,0.473542,0.000000,0.000000,0.000000
14,14,640,360,-1,1,0.114730,0.433288,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.041760,0.041759,0.000000,0.000000,0.000000
16,16,640,360,-1,1,0.096013,0.401746,0.000000,0.000000,0.000000
17,17,640,360,-1,1,0.090956,0.564497,0.000000,0.000000,0.000000
18,18,640,360,-1,1,0.060479,0.493767,0.000000,0.000000,0.000000
