id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,1080,1080,1,1,0.193975,0.193974,0.000000,0.000000,0.000000
1,1,892,829,2,1,0.144038,0.144038,0.000000,0.000000,0.000000
2,2,892,827,3,1,0.154866,0.154866,0.000000,0.000000,0.000000
3,3,820,707,4,1,0.164277,0.164277,0.000000,0.000000,0.000000
4,4,861,826,5,1,0.201564,0.201564,0.000000,0.000000,0.000000
5,5,884,825,6,1,0.189455,0.189454,0.000000,0.000000,0.000000
6,6,892,825,7,1,0.178837,0.178837,0.000000,0.000000,0.000000
7,7,820,704,0,1,0.598577,0.598577,0.000000,0.000000,0.000000
8,8,884,824,1,1,0.056759,0.056759,0.000000,0.000000,0.000000
9,9,884,824,2,1,0.057005,0.057005,0.000000,0.000000,0.000000
10,10,892,822,3,1,0.057227,0.057226,0.000000,0.000000,0.000000
11,11,820,698,4,1,0.044452,0.044452,0.000000,0.000000,0.000000
12,12,882,816,5,1,0.057399,0.057399,0.000000,0.000000,0.000000
13,13,878,808,6,1,0.055207,0.055206,0.000000,0.000000,0.000000
14,14,892,807,7,1,0.055919,0.055919,0.000000,0.000000,0.000000
15,15,820,682,0,1,0.480443,0.480442,0.000000,0.000000,0.000000
16,16,860,792,1,1,0.052992,0.052992,0.000000,0.000000,0.000000
17,17,884,788,2,1,0.054223,0.054222,0.000000,0.000000,0.000000
18,18,892,784,3,1,0.054510,0.054510,0.000000,0.000000,0.000000
19,19,820,658,4,1,0.041424,0.041424,0.000000,0.000000,0.000000
20,20,884,777,5,1,0.053691,0.053691,0.000000,0.000000,0.000000
21,21,884,777,6,1,0.054735,0.054735,0.000000,0.000000,0.000000
22,22,892,776,7,1,0.053981,0.053981,0.000000,0.000000,0.000000
23,23,882,776,0,1,0.487534,0.487534,0.000000,0.000000,0.000000
24,24,890,814,1,1,0.056088,0.056088,0.000000,0.000000,0.000000
25,25,882,776,2,1,0.053465,0.053464,0.000000,0.000000,0.000000
26,26,887,776,3,1,0.053885,0.053885,0.000000,0.000000,0.000000
27,27,819,658,4,1,0.041265,0.041265,0.000000,0.000000,0.000000
28,28,884,774,5,1,0.053511,0.053510,0.000000,0.000000,0.000000
29,29,884,776,6,1,0.053669,0.053655,0.000000,0.000000,0.000000
30,30,887,777,7,1,0.053623,0.053622,0.000000,0.000000,0.000000
31,31,819,658,0,1,0.490256,0.490256,0.000000,0.000000,0.000000
32,32,880,778,1,1,0.053234,0.053233,0.000000,0.000000,0.000000
33,33,883,793,2,1,0.054755,0.054754,0.000000,0.000000,0.000000
34,34,889,784,3,1,0.054597,0.054596,0.000000,0.000000,0.000000
35,35,819,667,4,1,0.042391,0.042391,0.000000,0.000000,0.000000
36,36,882,793,5,1,0.054926,0.054926,0.000000,0.000000,0.000000
37,37,882,799,6,1,0.055204,0.055204,0.000000,0.000000,0.000000
38,38,888,808,7,1,0.055857,0.055857,0.000000,0.000000,0.000000
39,39,819,693,0,1,0.462482,0.462481,0.000000,0.000000,0.000000
40,40,885,813,1,1,0.055749,0.055748,0.000000,0.000000,0.000000
41,41,885,824,2,1,0.057125,0.057125,0.000000,0.000000,0.000000
42,42,887,824,3,1,0.057146,0.057146,0.000000,0.000000,0.000000
43,43,819,704,4,1,0.044882,0.044882,0.000000,0.000000,0.000000
44,44,885,825,5,1,0.058609,0.058608,0.000000,0.000000,0.000000
45,45,884,830,6,1,0.059101,0.059101,0.000000,0.000000,0.000000
46,46,887,830,7,1,0.059089,0.059089,0.000000,0.000000,0.000000
47,47,878,827,0,1,0.523833,0.523833,0.000000,0.000000,0.000000
