id, frame, height, width, #workgroup, totalTime, workTime, masterTime, start, end
0,0,30,60,1,0.023463,0.023463,17003.920179,0.000000,17003.920179
1,1,30,60,1,0.027910,0.027910,0.027985,17003.920185,17003.948170
2,2,30,60,1,0.015960,0.015960,0.016952,17003.948176,17003.965128
3,3,30,60,1,0.018558,0.018557,0.022256,17003.965493,17003.987749
4,4,30,60,1,0.015578,0.015578,0.016664,17003.987763,17004.004427
5,5,30,60,1,0.018419,0.018419,0.018735,17004.004434,17004.023169
6,6,30,60,1,0.020828,0.020827,0.025102,17004.023175,17004.048278
7,7,30,60,1,0.019759,0.019759,0.021307,17004.048283,17004.069590
8,8,30,60,1,0.018429,0.018428,0.018497,17004.069597,17004.088094
9,9,30,60,1,0.016455,0.016454,0.020536,17004.088100,17004.108635
10,10,30,60,1,0.019399,0.019399,0.022818,17004.108641,17004.131458
11,11,30,60,1,0.020567,0.020567,0.020960,17004.131464,17004.152423
12,12,30,60,1,0.007404,0.007404,0.013712,17004.152427,17004.166139
13,13,30,60,1,0.004481,0.004481,0.006248,17004.166149,17004.172397
14,14,30,60,1,0.000842,0.000842,0.006974,17004.172434,17004.179408
15,15,30,60,1,0.008078,0.008077,0.009149,17004.179444,17004.188593
16,16,30,60,1,0.000748,0.000748,0.001800,17004.188634,17004.190434
17,17,30,60,1,0.001147,0.001147,0.001881,17004.190469,17004.192350
18,18,30,60,1,0.000363,0.000363,0.012377,17004.192384,17004.204760
19,19,30,60,1,0.001500,0.001499,0.003442,17004.204820,17004.208262
20,20,30,60,1,0.000676,0.000676,0.001420,17004.208266,17004.209686
21,21,30,60,1,0.001352,0.001352,0.002099,17004.209690,17004.211789
22,22,30,60,1,0.008081,0.008081,0.009073,17004.211792,17004.220865
23,23,30,60,1,0.000764,0.000764,0.001261,17004.220870,17004.222131
24,24,30,60,1,0.001466,0.001466,0.001692,17004.222183,17004.223875
25,25,30,60,1,0.000744,0.000744,0.000955,17004.223909,17004.224864
26,26,30,60,1,0.001908,0.001908,0.002088,17004.224885,17004.226974
27,27,30,60,1,0.001920,0.001920,0.002085,17004.227006,17004.229091
28,28,30,60,1,0.001956,0.001956,0.002187,17004.229124,17004.231311
29,29,30,60,1,0.012571,0.012571,0.012821,17004.231345,17004.244165
30,30,30,60,1,0.001670,0.001670,0.001881,17004.244201,17004.246082
31,31,30,60,1,0.001876,0.001876,0.002065,17004.246116,17004.248181
32,32,30,60,1,0.001766,0.001766,0.001865,17004.248423,17004.250289
