id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,1080,1080,1,1,0.223945,0.223945,0.000000,0.000000,0.000000
1,1,892,829,2,1,0.215739,0.215739,0.000000,0.000000,0.000000
2,2,892,827,3,1,0.193724,0.193724,0.000000,0.000000,0.000000
3,3,820,707,4,1,0.150653,0.150653,0.000000,0.000000,0.000000
4,4,861,826,5,1,0.159273,0.159273,0.000000,0.000000,0.000000
5,5,884,825,6,1,0.175886,0.175886,0.000000,0.000000,0.000000
6,6,892,825,7,1,0.180348,0.180348,0.000000,0.000000,0.000000
7,7,820,704,0,1,0.154284,0.154283,0.000000,0.000000,0.000000
8,8,884,824,1,1,0.056620,0.056620,0.000000,0.000000,0.000000
9,9,884,824,2,1,0.056670,0.056670,0.000000,0.000000,0.000000
10,10,892,822,3,1,0.056901,0.056901,0.000000,0.000000,0.000000
11,11,820,698,4,1,0.044432,0.044432,0.000000,0.000000,0.000000
12,12,882,816,5,1,0.057079,0.057079,0.000000,0.000000,0.000000
13,13,878,808,6,1,0.054974,0.054974,0.000000,0.000000,0.000000
14,14,892,807,7,1,0.055803,0.055803,0.000000,0.000000,0.000000
15,15,820,682,0,1,0.043281,0.043281,0.000000,0.000000,0.000000
16,16,860,792,1,1,0.052877,0.052877,0.000000,0.000000,0.000000
17,17,884,788,2,1,0.055067,0.055067,0.000000,0.000000,0.000000
18,18,892,784,3,1,0.054423,0.054423,0.000000,0.000000,0.000000
19,19,820,658,4,1,0.041354,0.041353,0.000000,0.000000,0.000000
20,20,884,777,5,1,0.053414,0.053413,0.000000,0.000000,0.000000
21,21,884,777,6,1,0.053589,0.053589,0.000000,0.000000,0.000000
22,22,892,776,7,1,0.053835,0.053835,0.000000,0.000000,0.000000
23,23,882,776,0,1,0.055436,0.055435,0.000000,0.000000,0.000000
24,24,890,814,1,1,0.055947,0.055947,0.000000,0.000000,0.000000
25,25,882,776,2,1,0.053380,0.053380,0.000000,0.000000,0.000000
26,26,887,776,3,1,0.053677,0.053677,0.000000,0.000000,0.000000
27,27,819,658,4,1,0.041329,0.041328,0.000000,0.000000,0.000000
28,28,884,774,5,1,0.053206,0.053206,0.000000,0.000000,0.000000
29,29,884,776,6,1,0.053354,0.053353,0.000000,0.000000,0.000000
30,30,887,777,7,1,0.053600,0.053599,0.000000,0.000000,0.000000
31,31,819,658,0,1,0.041035,0.041035,0.000000,0.000000,0.000000
32,32,880,778,1,1,0.053126,0.053126,0.000000,0.000000,0.000000
33,33,883,793,2,1,0.054651,0.054651,0.000000,0.000000,0.000000
34,34,889,784,3,1,0.054178,0.054178,0.000000,0.000000,0.000000
35,35,819,667,4,1,0.042187,0.042187,0.000000,0.000000,0.000000
36,36,882,793,5,1,0.054655,0.054654,0.000000,0.000000,0.000000
37,37,882,799,6,1,0.054842,0.054842,0.000000,0.000000,0.000000
38,38,888,808,7,1,0.055635,0.055635,0.000000,0.000000,0.000000
39,39,819,693,0,1,0.049301,0.049301,0.000000,0.000000,0.000000
40,40,885,813,1,1,0.059247,0.059247,0.000000,0.000000,0.000000
41,41,885,824,2,1,0.056820,0.056820,0.000000,0.000000,0.000000
42,42,887,824,3,1,0.057006,0.057006,0.000000,0.000000,0.000000
43,43,819,704,4,1,0.044784,0.044784,0.000000,0.000000,0.000000
44,44,885,825,5,1,0.058074,0.058073,0.000000,0.000000,0.000000
45,45,884,830,6,1,0.059844,0.059844,0.000000,0.000000,0.000000
46,46,887,830,7,1,0.059535,0.059534,0.000000,0.000000,0.000000
47,47,878,827,0,1,0.057895,0.057895,0.000000,0.000000,0.000000
