id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,1080,1080,1,1,0.118937,0.118937,0.000000,0.000000,0.000000
1,1,892,829,2,1,0.075825,0.075825,0.000000,0.000000,0.000000
2,2,892,827,3,1,0.077000,0.077000,0.000000,0.000000,0.000000
3,3,820,707,4,1,0.057559,0.057558,0.000000,0.000000,0.000000
4,4,861,826,5,1,0.071436,0.071436,0.000000,0.000000,0.000000
5,5,884,825,6,1,0.071008,0.071008,0.000000,0.000000,0.000000
6,6,892,825,7,1,0.073955,0.073955,0.000000,0.000000,0.000000
7,7,820,704,0,1,0.549140,0.549139,0.000000,0.000000,0.000000
8,8,884,824,1,1,0.069886,0.069886,0.000000,0.000000,0.000000
9,9,884,824,2,1,0.072618,0.072618,0.000000,0.000000,0.000000
10,10,892,822,3,1,0.073981,0.073980,0.000000,0.000000,0.000000
11,11,820,698,4,1,0.049522,0.049522,0.000000,0.000000,0.000000
12,12,882,816,5,1,0.070737,0.070737,0.000000,0.000000,0.000000
13,13,878,808,6,1,0.066109,0.066109,0.000000,0.000000,0.000000
14,14,892,807,7,1,0.062432,0.062432,0.000000,0.000000,0.000000
15,15,820,682,0,1,0.515257,0.515256,0.000000,0.000000,0.000000
16,16,860,792,1,1,0.065400,0.065400,0.000000,0.000000,0.000000
17,17,884,788,2,1,0.062281,0.062281,0.000000,0.000000,0.000000
18,18,892,784,3,1,0.063856,0.063856,0.000000,0.000000,0.000000
19,19,820,658,4,1,0.045976,0.045976,0.000000,0.000000,0.000000
20,20,884,777,5,1,0.066902,0.066901,0.000000,0.000000,0.000000
21,21,884,777,6,1,0.064361,0.064361,0.000000,0.000000,0.000000
22,22,892,776,7,1,0.060249,0.060249,0.000000,0.000000,0.000000
23,23,882,776,0,1,0.523299,0.523299,0.000000,0.000000,0.000000
24,24,890,814,1,1,0.069268,0.069268,0.000000,0.000000,0.000000
25,25,882,776,2,1,0.067946,0.067946,0.000000,0.000000,0.000000
26,26,887,776,3,1,0.069598,0.069598,0.000000,0.000000,0.000000
27,27,819,658,4,1,0.051103,0.051103,0.000000,0.000000,0.000000
28,28,884,774,5,1,0.053070,0.053070,0.000000,0.000000,0.000000
29,29,884,776,6,1,0.050458,0.050458,0.000000,0.000000,0.000000
30,30,887,777,7,1,0.071971,0.071971,0.000000,0.000000,0.000000
31,31,819,658,0,1,0.486584,0.486583,0.000000,0.000000,0.000000
32,32,880,778,1,1,0.065699,0.065699,0.000000,0.000000,0.000000
33,33,883,793,2,1,0.386366,0.386366,0.000000,0.000000,0.000000
34,34,889,784,3,1,0.063679,0.063679,0.000000,0.000000,0.000000
35,35,819,667,4,1,0.046930,0.046930,0.000000,0.000000,0.000000
36,36,882,793,5,1,0.068245,0.068245,0.000000,0.000000,0.000000
37,37,882,799,6,1,0.065903,0.065902,0.000000,0.000000,0.000000
38,38,888,808,7,1,0.062250,0.062250,0.000000,0.000000,0.000000
39,39,819,693,0,1,0.513227,0.513227,0.000000,0.000000,0.000000
40,40,885,813,1,1,0.068766,0.068766,0.000000,0.000000,0.000000
41,41,885,824,2,1,0.072386,0.072386,0.000000,0.000000,0.000000
42,42,887,824,3,1,0.074230,0.074230,0.000000,0.000000,0.000000
43,43,819,704,4,1,0.135537,0.135537,0.000000,0.000000,0.000000
44,44,885,825,5,1,0.071068,0.071068,0.000000,0.000000,0.000000
45,45,884,830,6,1,0.068973,0.068973,0.000000,0.000000,0.000000
46,46,887,830,7,1,0.130737,0.130737,0.000000,0.000000,0.000000
47,47,878,827,0,1,0.504527,0.504527,0.000000,0.000000,0.000000
