id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,1080,1080,1,1,0.113630,0.113630,0.000000,0.000000,0.000000
1,1,892,829,2,1,0.071538,0.071537,0.000000,0.000000,0.000000
2,2,892,827,3,1,0.068842,0.068842,0.000000,0.000000,0.000000
3,3,820,707,4,1,0.059110,0.059110,0.000000,0.000000,0.000000
4,4,861,826,5,1,0.069938,0.069938,0.000000,0.000000,0.000000
5,5,884,825,6,1,0.070765,0.070764,0.000000,0.000000,0.000000
6,6,892,825,7,1,0.079649,0.079649,0.000000,0.000000,0.000000
7,7,820,704,0,1,0.250822,0.250821,0.000000,0.000000,0.000000
8,8,884,824,1,1,0.065738,0.065738,0.000000,0.000000,0.000000
9,9,884,824,2,1,0.068069,0.068069,0.000000,0.000000,0.000000
10,10,892,822,3,1,0.058879,0.058879,0.000000,0.000000,0.000000
11,11,820,698,4,1,0.050050,0.050049,0.000000,0.000000,0.000000
12,12,882,816,5,1,0.067950,0.067950,0.000000,0.000000,0.000000
13,13,878,808,6,1,0.064892,0.064892,0.000000,0.000000,0.000000
14,14,892,807,7,1,0.062575,0.062575,0.000000,0.000000,0.000000
15,15,820,682,0,1,0.362776,0.362776,0.000000,0.000000,0.000000
16,16,860,792,1,1,0.061497,0.061496,0.000000,0.000000,0.000000
17,17,884,788,2,1,0.058161,0.058161,0.000000,0.000000,0.000000
18,18,892,784,3,1,0.056377,0.056377,0.000000,0.000000,0.000000
19,19,820,658,4,1,0.050496,0.050496,0.000000,0.000000,0.000000
20,20,884,777,5,1,0.064916,0.064915,0.000000,0.000000,0.000000
21,21,884,777,6,1,0.063220,0.063220,0.000000,0.000000,0.000000
22,22,892,776,7,1,0.060318,0.060318,0.000000,0.000000,0.000000
23,23,882,776,0,1,0.380690,0.380690,0.000000,0.000000,0.000000
24,24,890,814,1,1,0.065265,0.065265,0.000000,0.000000,0.000000
25,25,882,776,2,1,0.063770,0.063770,0.000000,0.000000,0.000000
26,26,887,776,3,1,0.067388,0.067388,0.000000,0.000000,0.000000
27,27,819,658,4,1,0.051666,0.051666,0.000000,0.000000,0.000000
28,28,884,774,5,1,0.057701,0.057701,0.000000,0.000000,0.000000
29,29,884,776,6,1,0.056048,0.056048,0.000000,0.000000,0.000000
30,30,887,777,7,1,0.066946,0.066946,0.000000,0.000000,0.000000
31,31,819,658,0,1,0.338674,0.338673,0.000000,0.000000,0.000000
32,32,880,778,1,1,0.061837,0.061837,0.000000,0.000000,0.000000
33,33,883,793,2,1,0.385285,0.385285,0.000000,0.000000,0.000000
34,34,889,784,3,1,0.063134,0.063134,0.000000,0.000000,0.000000
35,35,819,667,4,1,0.047369,0.047369,0.000000,0.000000,0.000000
36,36,882,793,5,1,0.059308,0.059308,0.000000,0.000000,0.000000
37,37,882,799,6,1,0.064717,0.064717,0.000000,0.000000,0.000000
38,38,888,808,7,1,0.062312,0.062312,0.000000,0.000000,0.000000
39,39,819,693,0,1,0.246896,0.246896,0.000000,0.000000,0.000000
40,40,885,813,1,1,0.064896,0.064896,0.000000,0.000000,0.000000
41,41,885,824,2,1,0.068367,0.068367,0.000000,0.000000,0.000000
42,42,887,824,3,1,0.058682,0.058682,0.000000,0.000000,0.000000
43,43,819,704,4,1,0.135802,0.135802,0.000000,0.000000,0.000000
44,44,885,825,5,1,0.070159,0.070159,0.000000,0.000000,0.000000
45,45,884,830,6,1,0.067872,0.067871,0.000000,0.000000,0.000000
46,46,887,830,7,1,0.064399,0.064399,0.000000,0.000000,0.000000
47,47,878,827,0,1,0.300358,0.300358,0.000000,0.000000,0.000000
