id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,1,1,0.163434,0.163434,0.000000,0.000000,0.000000
1,1,640,360,2,1,0.158733,0.158733,0.000000,0.000000,0.000000
2,2,627,360,3,1,0.157604,0.157603,0.000000,0.000000,0.000000
3,3,640,360,4,1,0.161792,0.161792,0.000000,0.000000,0.000000
4,4,640,360,5,1,0.158655,0.158655,0.000000,0.000000,0.000000
5,5,640,360,6,1,0.160761,0.160761,0.000000,0.000000,0.000000
6,6,640,360,7,1,0.162772,0.162772,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.159577,0.159576,0.000000,0.000000,0.000000
8,8,640,360,1,1,0.157494,0.157494,0.000000,0.000000,0.000000
9,9,640,360,2,1,0.156673,0.156672,0.000000,0.000000,0.000000
10,10,640,360,3,1,0.158872,0.158872,0.000000,0.000000,0.000000
11,11,640,360,4,1,0.186164,0.186164,0.000000,0.000000,0.000000
12,12,640,360,5,1,0.156816,0.156816,0.000000,0.000000,0.000000
13,13,640,360,6,1,0.156916,0.156915,0.000000,0.000000,0.000000
14,14,640,360,7,1,0.158764,0.158763,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.185259,0.185259,0.000000,0.000000,0.000000
16,16,640,360,1,1,0.087622,0.087622,0.000000,0.000000,0.000000
17,17,640,360,2,1,0.115288,0.115288,0.000000,0.000000,0.000000
18,18,640,360,3,1,0.087367,0.087367,0.000000,0.000000,0.000000
