id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,1080,1080,1,1,0.190528,0.190528,0.000000,0.000000,0.000000
1,1,892,829,2,1,0.144998,0.144998,0.000000,0.000000,0.000000
2,2,892,827,3,1,0.153289,0.153286,0.000000,0.000000,0.000000
3,3,820,707,4,1,0.131691,0.131690,0.000000,0.000000,0.000000
4,4,861,826,5,1,0.176767,0.176767,0.000000,0.000000,0.000000
5,5,884,825,6,1,0.188577,0.188577,0.000000,0.000000,0.000000
6,6,892,825,7,1,0.165235,0.165235,0.000000,0.000000,0.000000
7,7,820,704,0,1,0.188244,0.188244,0.000000,0.000000,0.000000
8,8,884,824,1,1,0.056654,0.056654,0.000000,0.000000,0.000000
9,9,884,824,2,1,0.056860,0.056859,0.000000,0.000000,0.000000
10,10,892,822,3,1,0.057241,0.057241,0.000000,0.000000,0.000000
11,11,820,698,4,1,0.044274,0.044274,0.000000,0.000000,0.000000
12,12,882,816,5,1,0.056934,0.056934,0.000000,0.000000,0.000000
13,13,878,808,6,1,0.054981,0.054981,0.000000,0.000000,0.000000
14,14,892,807,7,1,0.055679,0.055679,0.000000,0.000000,0.000000
15,15,820,682,0,1,0.043289,0.043289,0.000000,0.000000,0.000000
16,16,860,792,1,1,0.052774,0.052774,0.000000,0.000000,0.000000
17,17,884,788,2,1,0.054379,0.054379,0.000000,0.000000,0.000000
18,18,892,784,3,1,0.054616,0.054616,0.000000,0.000000,0.000000
19,19,820,658,4,1,0.041152,0.041152,0.000000,0.000000,0.000000
20,20,884,777,5,1,0.053397,0.053397,0.000000,0.000000,0.000000
21,21,884,777,6,1,0.053496,0.053496,0.000000,0.000000,0.000000
22,22,892,776,7,1,0.054005,0.054004,0.000000,0.000000,0.000000
23,23,882,776,0,1,0.055342,0.055342,0.000000,0.000000,0.000000
24,24,890,814,1,1,0.055985,0.055985,0.000000,0.000000,0.000000
25,25,882,776,2,1,0.053288,0.053288,0.000000,0.000000,0.000000
26,26,887,776,3,1,0.053928,0.053927,0.000000,0.000000,0.000000
27,27,819,658,4,1,0.041206,0.041205,0.000000,0.000000,0.000000
28,28,884,774,5,1,0.053804,0.053803,0.000000,0.000000,0.000000
29,29,884,776,6,1,0.053430,0.053430,0.000000,0.000000,0.000000
30,30,887,777,7,1,0.053438,0.053438,0.000000,0.000000,0.000000
31,31,819,658,0,1,0.041042,0.041042,0.000000,0.000000,0.000000
32,32,880,778,1,1,0.053245,0.053244,0.000000,0.000000,0.000000
33,33,883,793,2,1,0.054536,0.054536,0.000000,0.000000,0.000000
34,34,889,784,3,1,0.054462,0.054462,0.000000,0.000000,0.000000
35,35,819,667,4,1,0.042172,0.042172,0.000000,0.000000,0.000000
36,36,882,793,5,1,0.054545,0.054545,0.000000,0.000000,0.000000
37,37,882,799,6,1,0.054885,0.054885,0.000000,0.000000,0.000000
38,38,888,808,7,1,0.055620,0.055620,0.000000,0.000000,0.000000
39,39,819,693,0,1,0.043883,0.043882,0.000000,0.000000,0.000000
40,40,885,813,1,1,0.055630,0.055630,0.000000,0.000000,0.000000
41,41,885,824,2,1,0.057079,0.057079,0.000000,0.000000,0.000000
42,42,887,824,3,1,0.057045,0.057045,0.000000,0.000000,0.000000
43,43,819,704,4,1,0.044791,0.044790,0.000000,0.000000,0.000000
44,44,885,825,5,1,0.058119,0.058119,0.000000,0.000000,0.000000
45,45,884,830,6,1,0.058477,0.058477,0.000000,0.000000,0.000000
46,46,887,830,7,1,0.059196,0.059196,0.000000,0.000000,0.000000
47,47,878,827,0,1,0.058692,0.058692,0.000000,0.000000,0.000000
