id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,-1,1,0.095019,0.095019,0.000000,0.000000,0.000000
1,1,640,360,0,1,0.059537,0.059537,0.000000,0.000000,0.000000
2,2,627,360,-1,1,0.030436,0.125454,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.050282,0.050281,0.000000,0.000000,0.000000
4,4,640,360,-1,1,0.027718,0.153172,0.000000,0.000000,0.000000
5,5,640,360,0,1,0.039822,0.039821,0.000000,0.000000,0.000000
6,6,640,360,-1,1,0.038011,0.191182,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.037192,0.037191,0.000000,0.000000,0.000000
8,8,640,360,-1,1,0.042044,0.233226,0.000000,0.000000,0.000000
9,9,640,360,0,1,0.040272,0.040272,0.000000,0.000000,0.000000
10,10,640,360,-1,1,0.047041,0.280267,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.045369,0.045369,0.000000,0.000000,0.000000
12,12,640,360,-1,1,0.046553,0.326819,0.000000,0.000000,0.000000
13,13,640,360,0,1,0.039782,0.039782,0.000000,0.000000,0.000000
14,14,640,360,-1,1,0.057893,0.384712,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.043881,0.043881,0.000000,0.000000,0.000000
16,16,640,360,-1,1,0.038627,0.423339,0.000000,0.000000,0.000000
17,17,640,360,0,1,0.050943,0.050943,0.000000,0.000000,0.000000
18,18,640,360,-1,1,0.047313,0.470651,0.000000,0.000000,0.000000
