id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,-1,1,0.063311,0.063311,0.000000,0.000000,0.000000
1,1,640,360,0,1,0.071227,0.071227,0.000000,0.000000,0.000000
2,2,627,360,-1,1,0.025734,0.089044,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.034291,0.034291,0.000000,0.000000,0.000000
4,4,640,360,-1,1,0.035227,0.124271,0.000000,0.000000,0.000000
5,5,640,360,0,1,0.030556,0.030556,0.000000,0.000000,0.000000
6,6,640,360,-1,1,0.035263,0.159534,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.050228,0.050228,0.000000,0.000000,0.000000
8,8,640,360,-1,1,0.035996,0.195529,0.000000,0.000000,0.000000
9,9,640,360,0,1,0.034865,0.034865,0.000000,0.000000,0.000000
10,10,640,360,-1,1,0.046633,0.242162,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.055540,0.055540,0.000000,0.000000,0.000000
12,12,640,360,-1,1,0.042215,0.284376,0.000000,0.000000,0.000000
13,13,640,360,0,1,0.046437,0.046437,0.000000,0.000000,0.000000
14,14,640,360,-1,1,0.045090,0.329466,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.051919,0.051919,0.000000,0.000000,0.000000
16,16,640,360,-1,1,0.041477,0.370943,0.000000,0.000000,0.000000
17,17,640,360,0,1,0.051832,0.051831,0.000000,0.000000,0.000000
18,18,640,360,-1,1,0.067634,0.438577,0.000000,0.000000,0.000000
