id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,0,1,0.000003,0.000003,0.000000,0.000000,0.000000
1,1,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
2,2,627,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
4,4,640,360,0,1,0.000001,0.000001,0.000000,0.000000,0.000000
5,5,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
6,6,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
8,8,640,360,0,1,0.000001,0.000000,0.000000,0.000000,0.000000
9,9,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
10,10,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
12,12,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
13,13,640,360,0,1,0.000001,0.000001,0.000000,0.000000,0.000000
14,14,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
16,16,640,360,0,1,0.000001,0.000001,0.000000,0.000000,0.000000
17,17,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
18,18,640,360,0,1,0.000000,0.000000,0.000000,0.000000,0.000000
