id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,1,1,0.099341,0.099341,0.000000,0.000000,0.000000
1,1,640,360,2,1,0.090907,0.090906,0.000000,0.000000,0.000000
2,2,627,360,3,1,0.090135,0.090134,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.092275,0.092274,0.000000,0.000000,0.000000
4,4,640,360,1,1,0.083697,0.083695,0.000000,0.000000,0.000000
5,5,640,360,2,1,0.083494,0.083493,0.000000,0.000000,0.000000
6,6,640,360,3,1,0.083612,0.083610,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.084662,0.084662,0.000000,0.000000,0.000000
8,8,640,360,1,1,0.083468,0.083468,0.000000,0.000000,0.000000
9,9,640,360,2,1,0.108289,0.108288,0.000000,0.000000,0.000000
10,10,640,360,3,1,0.083559,0.083558,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.086332,0.086331,0.000000,0.000000,0.000000
12,12,640,360,1,1,0.109008,0.109007,0.000000,0.000000,0.000000
13,13,640,360,2,1,0.083829,0.083828,0.000000,0.000000,0.000000
14,14,640,360,3,1,0.109149,0.109147,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.112411,0.112410,0.000000,0.000000,0.000000
16,16,640,360,1,1,0.109599,0.109599,0.000000,0.000000,0.000000
17,17,640,360,2,1,0.109545,0.109545,0.000000,0.000000,0.000000
18,18,640,360,3,1,0.110411,0.110410,0.000000,0.000000,0.000000
