id, frame, height, width, groupIndex, groupSize, totalTime, workTime, masterTime, start, end
0,0,640,360,1,1,0.099945,0.099945,0.000000,0.000000,0.000000
1,1,640,360,2,1,0.096280,0.096279,0.000000,0.000000,0.000000
2,2,627,360,3,1,0.091027,0.091026,0.000000,0.000000,0.000000
3,3,640,360,0,1,0.092350,0.092349,0.000000,0.000000,0.000000
4,4,640,360,1,1,0.090709,0.090708,0.000000,0.000000,0.000000
5,5,640,360,2,1,0.091147,0.091146,0.000000,0.000000,0.000000
6,6,640,360,3,1,0.096934,0.096934,0.000000,0.000000,0.000000
7,7,640,360,0,1,0.090160,0.090159,0.000000,0.000000,0.000000
8,8,640,360,1,1,0.101956,0.101955,0.000000,0.000000,0.000000
9,9,640,360,2,1,0.128011,0.128010,0.000000,0.000000,0.000000
10,10,640,360,3,1,0.097889,0.097889,0.000000,0.000000,0.000000
11,11,640,360,0,1,0.088072,0.088072,0.000000,0.000000,0.000000
12,12,640,360,1,1,0.117464,0.117463,0.000000,0.000000,0.000000
13,13,640,360,2,1,0.085225,0.085224,0.000000,0.000000,0.000000
14,14,640,360,3,1,0.114099,0.114098,0.000000,0.000000,0.000000
15,15,640,360,0,1,0.110063,0.110063,0.000000,0.000000,0.000000
16,16,640,360,1,1,0.117458,0.117458,0.000000,0.000000,0.000000
17,17,640,360,2,1,0.125408,0.125408,0.000000,0.000000,0.000000
18,18,640,360,3,1,0.117063,0.117063,0.000000,0.000000,0.000000
